FEATURE_NAME	STATE_ALPHA	PRIM_LAT_DEC	PRIM_LONG_DEC		
Le Fevre Canyon	AZ	36.9299871	-112.3743602		
Aguila	AZ	33.9428069	-113.1740805		
Ajo	AZ	32.3717249	-112.8607099		
Ajo Range	AZ	32.0445102	-112.6851507		
Alamo Lake	AZ	34.2322428	-113.6027082		
Anegam	AZ	32.3728432	-112.0309692		
Anita Station	AZ	35.8619324	-112.2487816		
Aquarius Mountains	AZ	35.0833408	-113.4590996		
Arlington	AZ	33.3255978	-112.7640604		
Arrastra Mountain	AZ	34.4211304	-113.3821463		
Aubrey Cliffs	AZ	36.0397054	-113.0888138		
Avondale	AZ	33.4355977	-112.3496021		
Avra Valley	AZ	32.4514591	-111.3234411		
Baboquivari Mountains	AZ	31.7898056	-111.5867758		
Baboquivari Peak	AZ	31.771195	-111.5956648		
Balakai Mesa	AZ	35.9838938	-109.9378939		
Baldy Peak	AZ	33.9061599	-109.5628697		
Mount Bangs	AZ	36.7924783	-113.8549633		
Bassett Peak	AZ	32.506183	-110.2798065		
Beardsley	AZ	33.6614262	-112.3790519		
Begashibito Wash	AZ	36.2258243	-110.9876441		
Benson	AZ	31.9678611	-110.2945174		
Big Sandy River	AZ	34.3105753	-113.5265949		
Bill Williams River	AZ	34.3044591	-114.1352248		
Bisbee	AZ	31.4481547	-109.9284084		
Black Gap	AZ	32.7961602	-112.8007194		
Black Mountains	AZ	35.4705491	-114.5113555		
Bonito Canyon	AZ	35.7502934	-109.0834275		
Bouse	AZ	33.9325235	-114.0057748		
Bouse Wash	AZ	34.0472396	-114.3291183		
Bowie	AZ	32.3264652	-109.4870088		
Buckeye	AZ	33.3703197	-112.5837766		
Buckeye Valley	AZ	33.3567084	-112.7221147		
Buckskin Mountains	AZ	34.1552981	-113.8307707		
Bullhead City	AZ	35.1477774	-114.5682983		
Butler Valley	AZ	33.93447	-113.8096585		
Bylas	AZ	33.134281	-110.120044		
Cabeza Prieta Game Range	AZ	32.250056	-113.45074		
Cabeza Prieta Mountains	AZ	32.3497794	-113.8240941		
Cactus	AZ	33.5986522	-112.0304263		
Cactus Flat	AZ	32.7584007	-109.7161912		
Calva	AZ	33.1806128	-110.1864783		
Cameron	AZ	35.8758285	-111.4129207		
Carrizo Mountains	AZ	36.8116664	-109.1742692		
Carson Mesa	AZ	36.6308343	-109.6184425		
